"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Vendor app","0","Fleet landing — rental 9000000001","9","0","","0"
"0","Vendor app","0","Sign up screen","22","0","","1"
"0","Vendor app","0","Quick Booking — rental company 9000000001","10","0","","0"
"1","Vendor app","0","Home interact — rental vendor 9000000001","16","1","","0"
"0","Vendor app","0","Home landing — material vendor 9000000017","9","0","","0"
"1","Vendor app","3","Fleet edge — rental 9000000001","13","0","","0"
"0","Vendor app","7","Rental Booking edges — rental vendor 9000000001","12","1","","0"
"1","Vendor app","0","Home edges — rental vendor 9000000001","10","2","","0"
"0","Vendor app","0","Quick Booking decline — rental owner 9000000001","6","0","","0"
"1","Vendor app","0","Quick Booking landing — material vendor 9000000017","6","0","","0"
"0","Vendor app","2","Rental Booking API gaps — 9000000001","7","0","","0"
"0","Vendor app","0","Quick Booking","9","0","","0"
"0","Vendor app","0","Quick Booking edges — material vendor 9000000017","4","2","","0"
"0","Vendor app","1","Splash screen","6","0","","1"
"1","Vendor app","0","Home landing — rental vendor 9000000001","8","0","","0"
"0","Vendor app","0","03 Onboarding slide 1","1","0","Grow Your Machine — Skip + Next","0"
"0","Vendor app","0","OTP screen","24","0","","1"
"0","Vendor app","0","Rental Booking API — rental vendor 9000000001","1","0","","13"
"0","Vendor app","0","Quick Booking landing — rental owner 9000000001","15","0","","0"
"0","Vendor app","0","Home edges — material vendor 9000000017","6","0","","0"
"0","Vendor app","0","Onboarding carousel","11","0","","0"
"0","Vendor app","0","Language screen","10","0","","0"
"0","Vendor app","0","Home interact — material vendor 9000000017","17","0","","0"
"0","Vendor app","0","Rental flow explore — 9000000001","2","0","","0"
"0","Vendor app","0","Rental Booking landing — rental vendor 9000000001","16","0","","0"
"0","Vendor app","0","Fleet interact — rental 9000000001","16","0","","0"
"0","Vendor app","0","Rental Booking lifecycle API — 9000000001 / 9000000002","6","2","","0"
"0","Vendor app","0","Rental Booking lifecycle — rental vendor 9000000001","15","1","","0"
"0","Vendor app","0","05 Sign up screen","1","0","Phone, +91, terms, Get OTP visible (not submitted yet)","0"
"0","Vendor app","0","Rental Booking interact — rental vendor 9000000001","15","1","","0"
"0","Vendor app","0","Quick Booking edges — rental owner 9000000001","9","4","","0"
"0","Vendor app","0","Quick Booking landing discovery","3","0","","0"
"0","Vendor app","0","Quick Booking accept — material vendor 9000000017","1","0","","0"
"1","Vendor app","0","Quick Booking accept — rental owner 9000000001","5","0","","0"
"0","Vendor app","0","Home landing — rental vendor 9000000001 extend-time overlay","3","0","","0"
"0","Vendor app","0","Quick Booking accept — free operator UI (F7D066)","1","0","","0"
"0","Vendor app","0","06 OTP screen","1","0","Get OTP opens verify screen — do not submit valid OTP","0"
"0","Vendor app","0","Quick Booking decline — material vendor 9000000017","1","0","","0"
"0","Vendor app","0","Quick Booking — material vendor dump","1","0","","0"
"0","Vendor app","0","Home dump — rental vendor 9000000001","1","0","","0"
"0","Vendor app","0","Home dump — material vendor 9000000017","1","0","","0"
"0","Vendor app","0","01 Splash screen","1","0","Cold launch reaches first stable UI","0"
"0","Vendor app","0","04 Onboarding slide 2","1","0","Manage Everything — Get started","0"
"0","Vendor app","0","Fleet dump — rental vendor 9000000001","1","0","","0"
"0","Vendor app","0","02 Language screen","1","0","All language options and Get started","0"
