"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Next must change the headline to 'Manage Everything In One Place' and expose Get started.","10464","Case 2: Next on slide 1 advances to slide 2","L2B Vendor","Thu Sep 17 16:17:46 IST 2026","passed","Thu Sep 17 16:17:57 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.OnboardingCarouselTest","07 Onboarding carousel edges","com.l2b.vendor.modules.onboarding.presentation.tests.OnboardingCarouselTest","nextOnSlideOneAdvancesToSlideTwo"
"9000000017 login to Quick Booking, terminateApp + activateApp without pm clear. Must return to Quick Booking, not Language.","36505","Case 8: Material Quick Booking persists after relaunch","L2B Vendor Quick Booking","Fri Sep 18 12:32:24 IST 2026","passed","Fri Sep 18 12:33:01 IST 2026","com.l2b.vendor.modules.bookings.presentation.tests.QuickBookingTest","Quick Booking isolated","com.l2b.vendor.modules.bookings.presentation.tests.QuickBookingTest","materialSessionPersistsOnQuickBooking"
"Paste '+91 9876543210'. Record field text. Duplicate +91 or 919876543210 is a finding.","23914","Case 12: Paste +91 9876543210 — no duplicate country code","L2B Vendor","Thu Sep 17 16:33:20 IST 2026","passed","Thu Sep 17 16:33:44 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.SignUpTest","08 Sign up screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.SignUpTest","pasteNumberWithCountryCode"
"Placeholder: simulate backend down without touching shared QA. Not run until a local stub exists.","0","TODO: No isolated stub for QA.waardian.com; enabling this would interfere with the shared QA env.: Case 22: Backend unreachable at OTP submit","L2B Vendor OTP isolated","Fri Sep 18 12:20:30 IST 2026","unknown","Fri Sep 18 12:20:30 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.OTPScreenTest","OTP case 24","com.l2b.vendor.modules.onboarding.presentation.tests.OTPScreenTest","backendUnreachableOnOtpSubmit"
"List #15. Record first Timer. A 00:00 seed is not on 0001 this run.","30834","Edge-4: Timer on a live card is mm:ss and not expired","L2B Vendor Quick Booking edges — rental owner 9000000001","Fri Sep 18 16:29:54 IST 2026","passed","Fri Sep 18 16:30:25 IST 2026","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingEdgeCasesTest","Quick Booking edge cases","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingEdgeCasesTest","expiredBookingTimerBehavior"
"9000000017 on Quick Booking. Device Back. Record landing. Observed: launcher (BUGS_FOUND #13). Do not tap Accept/Decline.","12266","Case 7: Material Quick Booking Back — named landing, no crash","L2B Vendor Quick Booking","Fri Sep 18 12:31:47 IST 2026","passed","Fri Sep 18 12:32:00 IST 2026","com.l2b.vendor.modules.bookings.presentation.tests.QuickBookingTest","Quick Booking isolated","com.l2b.vendor.modules.bookings.presentation.tests.QuickBookingTest","materialBackGoesToHome"
"9000000001 + 1234. Eligible pending rentals must open Quick Booking (title + Close), not Home. Do not tap Accept/Decline.","33062","Landing-1: Quick Booking appears after login when pending rentals exist","L2B Vendor Quick Booking landing — rental owner 9000000001","Fri Sep 18 15:07:11 IST 2026","passed","Fri Sep 18 15:07:44 IST 2026","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingLandingTest","Quick Booking landing","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingLandingTest","appearsAfterLoginWhenPendingRentalsExist"
"Valid number + terms, HOME, activateApp. Field and Get OTP enabled must persist.","20186","Case 22: Background/foreground mid-typing — data persists","L2B Vendor","Thu Sep 17 16:37:38 IST 2026","passed","Thu Sep 17 16:37:58 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.SignUpTest","08 Sign up screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.SignUpTest","backgroundForegroundMidTypingPersists"
"9000000001 on Quick Booking. Tap Close (outer View). Must reach Home, not OTP. Do not tap Accept/Decline.","40073","Case 2: Rental Quick Booking Close goes to Home","L2B Vendor Quick Booking","Fri Sep 18 12:25:20 IST 2026","passed","Fri Sep 18 12:26:00 IST 2026","com.l2b.vendor.modules.bookings.presentation.tests.QuickBookingTest","Quick Booking isolated","com.l2b.vendor.modules.bookings.presentation.tests.QuickBookingTest","rentalCloseGoesToHome"
"Dump-sourced 17 Sep: //android.widget.EditText (count=1, text empty). Continue enabled lives on //android.view.View[@clickable='true'][.//android.widget.TextView[@text='Continue']] — empty = enabled=false. Inner TextView/Button stay enabled=true decoys.","23393","Case 1: Empty OTP — Continue disabled; one EditText in tree","L2B Vendor","Thu Sep 17 16:39:00 IST 2026","passed","Thu Sep 17 16:39:23 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.OTPScreenTest","09 OTP screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.OTPScreenTest","emptyOtpLeavesContinueDisabled"
"List #34. Landscape then portrait. Title/Close/Accept must survive. Do not tap Accept/Decline.","38915","Edge-7: Rotation keeps Quick Booking chrome","L2B Vendor Quick Booking edges — rental owner 9000000001","Fri Sep 18 16:32:29 IST 2026","passed","Fri Sep 18 16:33:08 IST 2026","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingEdgeCasesTest","Quick Booking edge cases","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingEdgeCasesTest","rotationKeepsQuickBookingChrome"
"Screenshots show a pill + circle above Next/Get started. Dump has two 126×126 Views with no selected/content-desc, so correct-dot-per-slide cannot be asserted.","39058","Case 11: Progress dots — visual cluster exists; highlight not in dump","L2B Vendor","Thu Sep 17 16:27:08 IST 2026","passed","Thu Sep 17 16:27:47 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.OnboardingCarouselTest","07 Onboarding carousel edges","com.l2b.vendor.modules.onboarding.presentation.tests.OnboardingCarouselTest","progressDotsAreVisualOnlyNotInSelectedState"
"Valid number + terms, terminateApp + activateApp without pm clear. Record landing. Expected reset: empty Sign up or language first-launch.","29101","Case 23: Force-kill + relaunch mid-entry — expected reset","L2B Vendor","Thu Sep 17 16:38:12 IST 2026","passed","Thu Sep 17 16:38:41 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.SignUpTest","08 Sign up screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.SignUpTest","forceKillRelaunchMidEntryResets"
"6666666666 + terms. Confirm same enablement as 9999999999.","7619","Case 7: All-same 6666666666 — blocked or Get OTP enables","L2B Vendor","Thu Sep 17 16:31:29 IST 2026","passed","Thu Sep 17 16:31:36 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.SignUpTest","08 Sign up screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.SignUpTest","allSameSixesEnablesOrBlocksGetOtp"
"After selecting Telugu then Kannada, the four language rows must keep a right-side CheckBox and similar row height (dump: checkbox x=880, height ~123–129).","14093","Case 8: Telugu/Kannada rows keep checkbox alignment","L2B Vendor","Thu Sep 17 16:15:50 IST 2026","passed","Thu Sep 17 16:16:04 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.LanguageScreenTest","00b Language screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.LanguageScreenTest","nonLatinScriptDoesNotBreakCheckboxRowLayout"
"Wait up to 75s for countdown 0. Record resend text/enabled. Dump hierarchy.","68145","Case 12: Resend enables when timer hits zero","L2B Vendor","Thu Sep 17 16:42:45 IST 2026","passed","Thu Sep 17 16:43:53 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.OTPScreenTest","09 OTP screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.OTPScreenTest","resendEnablesWhenTimerHitsZero"
"Splash is transient. First stable UI is language (after notification prompt). Screenshot is taken once language is visible. QA backend ping is included here.","7107","Splash screen","L2B Vendor","Thu Sep 17 16:16:22 IST 2026","passed","Thu Sep 17 16:16:29 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.SmokeTest","01 Splash screen","com.l2b.vendor.modules.onboarding.presentation.tests.SmokeTest","splashScreen"
"Wait for Resend OTP button, logcat -c, tap once. Count resend-otp / send-otp in logcat.","69050","Case 13: Resend tap fires resend-otp (logcat)","L2B Vendor","Thu Sep 17 16:43:56 IST 2026","passed","Thu Sep 17 16:45:05 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.OTPScreenTest","09 OTP screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.OTPScreenTest","resendTapFiresRequest"
"Enters the QA rental-company phone, accepts terms, taps Get OTP. Asserts OTP UI only. Does not enter or verify OTP.","8258","OTP screen","L2B Vendor","Thu Sep 17 16:16:44 IST 2026","passed","Thu Sep 17 16:16:53 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.SmokeTest","06 OTP screen","com.l2b.vendor.modules.onboarding.presentation.tests.SmokeTest","otpScreen"
"List #35. HOME ~3s, activateApp. Pending rentals must still show Quick Booking. Do not tap Accept/Decline.","44912","Edge-8: Background then foreground keeps the pending queue","L2B Vendor Quick Booking edges — rental owner 9000000001","Fri Sep 18 16:33:27 IST 2026","passed","Fri Sep 18 16:34:12 IST 2026","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingEdgeCasesTest","Quick Booking edge cases","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingEdgeCasesTest","backgroundThenForegroundKeepsQueue"
"First card (1 day) and second card (20 days) from dump. Do not tap Accept/Decline.","18762","Landing-14: Different date ranges and durations display on cards","L2B Vendor Quick Booking landing — rental owner 9000000001","Fri Sep 18 15:41:20 IST 2026","passed","Fri Sep 18 15:41:39 IST 2026","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingLandingTest","Quick Booking landing","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingLandingTest","startEndDurationDisplayOnCard"
"","2339","Onboarding slide 1","L2B Vendor","Thu Sep 17 16:16:37 IST 2026","passed","Thu Sep 17 16:16:39 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.SmokeTest","03 Onboarding slide 1","com.l2b.vendor.modules.onboarding.presentation.tests.SmokeTest","onboardingSlideOne"
"Close to Home, terminateApp + activateApp without pm clear. Pending rentals must open Quick Booking again. Do not tap Accept/Decline.","44328","0001-7: Close then relaunch — pending queue still opens Quick Booking","L2B Vendor Quick Booking — rental company 9000000001","Fri Sep 18 14:43:40 IST 2026","passed","Fri Sep 18 14:44:24 IST 2026","com.l2b.vendor.modules.bookings.presentation.tests.quickbooking.RentalCompanyQuickBookingTest","Rental company Quick Booking","com.l2b.vendor.modules.bookings.presentation.tests.quickbooking.RentalCompanyQuickBookingTest","closeThenRelaunchStillQuickBooking"
"QA phone + 1234, terminateApp + activateApp without pm clear. Must return to Home identity, not Quick Booking / first-launch.","37552","Case 24: Session persists after login + relaunch","L2B Vendor OTP isolated","Fri Sep 18 12:20:50 IST 2026","failed","Fri Sep 18 12:21:27 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.OTPScreenTest","OTP case 24","com.l2b.vendor.modules.onboarding.presentation.tests.OTPScreenTest","sessionPersistenceAfterLoginRelaunch"
"Cold launch shows the system notification dialog. ALLOW → app proceeds to language.","2658","Notification permission ALLOW","L2B Vendor","Thu Sep 17 16:10:39 IST 2026","passed","Thu Sep 17 16:10:42 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.SplashScreenTest","00 Splash screen edges","com.l2b.vendor.modules.onboarding.presentation.tests.SplashScreenTest","notificationPermissionAllow"
"Second dump card location is long (RMV 2nd Stage…). App must stay on Quick Booking with Accept still visible. Do not tap Accept/Decline.","21983","Landing-12: Long location text does not break the card","L2B Vendor Quick Booking landing — rental owner 9000000001","Fri Sep 18 15:37:13 IST 2026","passed","Fri Sep 18 15:37:35 IST 2026","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingLandingTest","Quick Booking landing","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingLandingTest","longMachineAndLocationTextDoNotCrash"
"Dump second card Amount · Online Mode ₹1,020,000. Do not tap Accept/Decline.","134944","Landing-13: Large booking amount displays with rupee and payment mode","L2B Vendor Quick Booking landing — rental owner 9000000001","Fri Sep 18 15:38:53 IST 2026","passed","Fri Sep 18 15:41:08 IST 2026","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingLandingTest","Quick Booking landing","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingLandingTest","largeAmountDisplaysWithRupeeAndPaymentMode"
"If portrait-locked, stay portrait. Landscape layout is not asserted when locked.","24076","Case 8: Rotation during carousel does not crash","L2B Vendor","Thu Sep 17 16:24:23 IST 2026","passed","Thu Sep 17 16:24:47 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.OnboardingCarouselTest","07 Onboarding carousel edges","com.l2b.vendor.modules.onboarding.presentation.tests.OnboardingCarouselTest","rotationDuringCarousel"
"9000000003 + 1234. Zero bookings must land on Home. Quick Booking must not appear.","40283","Case 9: Zero bookings go straight to Home, no Quick Booking","L2B Vendor Quick Booking","Fri Sep 18 12:33:35 IST 2026","passed","Fri Sep 18 12:34:15 IST 2026","com.l2b.vendor.modules.bookings.presentation.tests.QuickBookingTest","Quick Booking isolated","com.l2b.vendor.modules.bookings.presentation.tests.QuickBookingTest","zeroBookingsLandsOnHome"
"List #39. Background 3s, return. Queue must still be a coherent Quick Booking (title + Accept), not a crash or blank.","24586","Edge-12: Stale booking data after a short background","L2B Vendor Quick Booking edges — rental owner 9000000001","Fri Sep 18 16:35:23 IST 2026","passed","Fri Sep 18 16:35:48 IST 2026","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingEdgeCasesTest","Quick Booking edge cases","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingEdgeCasesTest","staleBookingDataIsHandled"
"List #36. Blocked on 0001 while pending jobs exist. Not 0003.","5","Edge-9: Empty/null queue does not crash","L2B Vendor Quick Booking edges — rental owner 9000000001","Fri Sep 18 16:34:33 IST 2026","skipped","Fri Sep 18 16:34:33 IST 2026","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingEdgeCasesTest","Quick Booking edge cases","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingEdgeCasesTest","emptyOrNullQueueDoesNotCrash"
"","5657","Language screen","L2B Vendor","Thu Sep 17 16:16:29 IST 2026","passed","Thu Sep 17 16:16:35 IST 2026","com.l2b.vendor.modules.onboarding.presentation.tests.SmokeTest","02 Language screen","com.l2b.vendor.modules.onboarding.presentation.tests.SmokeTest","languageScreen"
"9000000001 login to Quick Booking, terminateApp + activateApp without pm clear. Must return to Quick Booking (session + pending queue), not Language.","23655","Case 4: Rental Quick Booking persists after relaunch","L2B Vendor Quick Booking","Fri Sep 18 12:29:12 IST 2026","passed","Fri Sep 18 12:29:36 IST 2026","com.l2b.vendor.modules.bookings.presentation.tests.QuickBookingTest","Quick Booking isolated","com.l2b.vendor.modules.bookings.presentation.tests.QuickBookingTest","rentalSessionPersistsOnQuickBooking"
"List #17 related. If timer is not 00:00, Accept must still open Assign machine. True post-expiry Accept needs a 00:00 seed (not on 0001 this run). Do not Confirm.","48322","Accept-6: Accept while timer is still running opens Assign machine","L2B Vendor Quick Booking accept — rental owner 9000000001","Fri Sep 18 16:20:40 IST 2026","passed","Fri Sep 18 16:21:28 IST 2026","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingAcceptTest","Quick Booking accept","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingAcceptTest","acceptWhileTimerRunningOpensAssignMachine"
"List #29. If a blank Booking for is on screen, app must stay on Quick Booking. Dump cards have locations; this records that and no crash.","35070","Edge-6: Missing/invalid location does not crash","L2B Vendor Quick Booking edges — rental owner 9000000001","Fri Sep 18 16:31:34 IST 2026","passed","Fri Sep 18 16:32:09 IST 2026","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingEdgeCasesTest","Quick Booking edge cases","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingEdgeCasesTest","invalidLocationDoesNotCrash"
"9000000001. Tap View More Details on the first card. Purpose / Soil / Load must appear. Do not tap Accept/Decline.","44281","Accept-1: View More Details expands the first rental card","L2B Vendor Quick Booking accept — rental owner 9000000001","Fri Sep 18 15:50:25 IST 2026","passed","Fri Sep 18 15:51:10 IST 2026","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingAcceptTest","Quick Booking accept","com.l2b.vendor.modules.quickbooking.presentation.tests.QuickBookingAcceptTest","viewMoreDetailsExpandsFirstCard"
